,major_code,major_name,subject_group,point,year,university_code,university_name
0,7520207,Kỹ thuật Điện tử viễn thông,A00; A01,25.6,2022,BVH,Học Viện Công Nghệ Bưu Chính Viễn Thông ( Phía Bắc )
1,7510301,"Công nghệ kỹ thuật Điện, điện tử",A00; A01,25.1,2022,BVH,Học Viện Công Nghệ Bưu Chính Viễn Thông ( Phía Bắc )
2,7480201,Công nghệ thông tin,A00; A01,27.25,2022,BVH,Học Viện Công Nghệ Bưu Chính Viễn Thông ( Phía Bắc )
3,7480202,An toàn thông tin,A00; A01,26.7,2022,BVH,Học Viện Công Nghệ Bưu Chính Viễn Thông ( Phía Bắc )
4,7480101,Khoa học máy tính,A00; A01,26.9,2022,BVH,Học Viện Công Nghệ Bưu Chính Viễn Thông ( Phía Bắc )
5,7329001,Công nghệ đa phương tiện,A00; A01; D01,26.45,2022,BVH,Học Viện Công Nghệ Bưu Chính Viễn Thông ( Phía Bắc )
6,7320104,Truyền thông đa phương tiện,A00; A01; D01,26.2,2022,BVH,Học Viện Công Nghệ Bưu Chính Viễn Thông ( Phía Bắc )
7,7320101,Báo chí,A00; A01; D01,24.4,2022,BVH,Học Viện Công Nghệ Bưu Chính Viễn Thông ( Phía Bắc )
8,7340101,Quản trị kinh doanh,A00; A01; D01,25.55,2022,BVH,Học Viện Công Nghệ Bưu Chính Viễn Thông ( Phía Bắc )
9,7340122,Thương mại điện tử,A00; A01; D01,26.35,2022,BVH,Học Viện Công Nghệ Bưu Chính Viễn Thông ( Phía Bắc )
10,7340115,Marketing,A00; A01; D01,26.1,2022,BVH,Học Viện Công Nghệ Bưu Chính Viễn Thông ( Phía Bắc )
11,7340301,Kế toán,A00; A01; D01,25.35,2022,BVH,Học Viện Công Nghệ Bưu Chính Viễn Thông ( Phía Bắc )
12,7340205,Công nghệ tài chính (Fintech),A00; A01; D01,25.85,2022,BVH,Học Viện Công Nghệ Bưu Chính Viễn Thông ( Phía Bắc )
13,7860100,Nghiệp vụ An ninh,A00,19.03,2022,ANH,Học Viện An Ninh Nhân Dân
14,7860100,Nghiệp vụ An ninh,A01,19.62,2022,ANH,Học Viện An Ninh Nhân Dân
15,7860100,Nghiệp vụ An ninh,C03,20.53,2022,ANH,Học Viện An Ninh Nhân Dân
16,7860100,Nghiệp vụ An ninh,D01,20.33,2022,ANH,Học Viện An Ninh Nhân Dân
17,7860100,Nghiệp vụ An ninh,A00,23.88,2022,ANH,Học Viện An Ninh Nhân Dân
18,7860100,Nghiệp vụ An ninh,A01,25.66,2022,ANH,Học Viện An Ninh Nhân Dân
19,7860100,Nghiệp vụ An ninh,C03,24.92,2022,ANH,Học Viện An Ninh Nhân Dân
20,7860100,Nghiệp vụ An ninh,D01,25.3,2022,ANH,Học Viện An Ninh Nhân Dân
21,7860100,Nghiệp vụ An ninh,A00,21.61,2022,ANH,Học Viện An Ninh Nhân Dân
22,7860100,Nghiệp vụ An ninh,A01,22.39,2022,ANH,Học Viện An Ninh Nhân Dân
23,7860100,Nghiệp vụ An ninh,C03,21.84,2022,ANH,Học Viện An Ninh Nhân Dân
24,7860100,Nghiệp vụ An ninh,D01,21.89,2022,ANH,Học Viện An Ninh Nhân Dân
25,7860100,Nghiệp vụ An ninh,A00,24.69,2022,ANH,Học Viện An Ninh Nhân Dân
26,7860100,Nghiệp vụ An ninh,A01,23.16,2022,ANH,Học Viện An Ninh Nhân Dân
27,7860100,Nghiệp vụ An ninh,C03,24.56,2022,ANH,Học Viện An Ninh Nhân Dân
28,7860100,Nghiệp vụ An ninh,D01,22.44,2022,ANH,Học Viện An Ninh Nhân Dân
29,7860100,Nghiệp vụ An ninh,A00,20.06,2022,ANH,Học Viện An Ninh Nhân Dân
30,7860100,Nghiệp vụ An ninh,A01,20.92,2022,ANH,Học Viện An Ninh Nhân Dân
31,7860100,Nghiệp vụ An ninh,C03,21.63,2022,ANH,Học Viện An Ninh Nhân Dân
32,7860100,Nghiệp vụ An ninh,D01,20.96,2022,ANH,Học Viện An Ninh Nhân Dân
33,7860100,Nghiệp vụ An ninh,A00,22.13,2022,ANH,Học Viện An Ninh Nhân Dân
34,7860100,Nghiệp vụ An ninh,A01,24.94,2022,ANH,Học Viện An Ninh Nhân Dân
35,7860100,Nghiệp vụ An ninh,C03,25.3,2022,ANH,Học Viện An Ninh Nhân Dân
